,L,R
406,z,G5
407,z,C5
408,z,A4
409,z,A4
410,z,E4
411,F3,F4
412,z,A5
413,z,D5
414,z,z
415,z,B4
416,z,G5
417,z,F#4
418,F3,D4
419,z,B4
420,z,D6
421,A#2,A#3
422,z,E4
423,z,z
424,z,z
425,z,D5
426,z,D5
427,z,z
428,z,E4
429,z,G4
430,F3,D4
431,z,G4
432,z,A5
433,z,G4
434,z,C5
435,z,A4
436,G3,E6
437,F3,D4
438,z,F5
439,F3,D4
440,z,F5
441,z,E5
442,F3,F#3C4
443,B2,D4F4
444,F#3,B5D6
445,z,E5
446,z,B4
447,C3,C4
448,z,E5
449,z,z
450,z,E4
451,C4,D#5
452,F3,F4
453,z,G4
454,z,G5
455,z,D5
456,z,B5
457,A3,B4D5
458,z,z
459,z,F5
460,F3,F4
461,z,C5
462,z,A4
463,z,D5
464,A#2,A#4
465,z,G5
466,z,B4
467,z,F5
468,z,C6
469,z,D6
470,z,F#5
471,A#2,A#4
472,F3,D4
473,G3,D5F5
474,z,z
475,z,B4
476,z,F#4
477,z,z
478,z,G4
479,z,G4
480,F3,D4
481,F#2F#3,A4C5
482,z,D5
483,A#2,A#4
484,z,C5
485,A#2,A#4
486,F#3,D5B5
487,z,C6
488,z,G5
489,z,B4
490,F3,F4
491,F3,F4
492,z,A5
493,z,C5
494,z,D6
495,z,z
496,z,E5
497,z,B4
498,z,A4
499,z,z
500,z,G4
501,z,E5
502,A#2,A#4
503,z,A4
504,z,C6
505,z,A4
506,z,C6
507,z,C5
508,D4,E5G5
509,z,B4
510,z,G4
511,z,G5
512,z,D5
513,z,E4G4
514,z,A4
515,G3,E6
516,z,z
517,C3,C4E4
518,z,z
519,z,E5
520,z,C5
521,z,z
522,F3,F4
523,z,F#5
524,A#2,A#4
525,z,D5
526,A3,C#5
527,z,G5
528,z,E4
529,z,G4
530,z,E4
531,z,B5
532,E3G3,C5E5
533,z,B4
534,z,z
535,z,B4
536,z,E5
537,C3,C4
538,z,z
539,z,F#5
540,z,E5
541,z,F5
542,z,G5
543,z,G4
544,z,G3
545,z,G5
546,z,D5
547,z,G5
548,F3,F5A5
549,z,F#4
550,z,D5
551,z,F#5A5
552,B2,D4F4
553,z,A4
554,z,E5
555,z,A4
556,z,D5
557,E3,A3D#4
558,z,A5
559,z,z
560,z,B4
561,z,D5
562,z,E5
563,z,A5
564,z,G4
565,C4,B3D4G4
566,z,E4
567,F3,D4
568,z,F5
569,z,D5
570,z,D5
571,A3,C#5
572,z,G5
573,z,A4
574,z,A5
575,G3,D#4
576,G3,E6
577,C4,G5A#5
578,z,A3
579,z,A5
580,z,G5
581,z,C5
582,F3,F4
583,E3G3,C5E5
584,z,C5
585,z,G4
586,z,B5
587,z,E4
588,z,C5
589,C3,C4E4
590,z,C5
591,z,C5
592,F3,F4
593,z,B5
594,z,G4
595,C3,C4E4
596,z,G5
597,z,D5
598,z,A4
599,C3E3G3,C4C5
600,E3,C#4
601,z,D5
602,z,z
603,z,A4
604,z,z
605,z,z
606,z,F5
607,z,F5
608,z,D5
609,z,D5
610,z,A5
611,z,B5
612,z,A5
613,z,F#4
614,z,C5
615,z,A5
616,z,G5
617,z,C6
618,z,E5
619,z,D5
620,z,A4
621,z,A4
622,A3,C#5
623,z,G5
624,z,B4
625,F#3,D5B5
626,z,G5
627,z,D5
628,G3,E6
629,z,C5
630,z,z
631,A3,G#4
632,z,C5
633,z,G4
634,z,C5
635,C4D4,B4G#5
636,z,G5
637,z,G5
638,C4,D#5
639,z,D5
640,z,z
641,z,F4A4
642,z,B4
643,z,A3
644,z,z
645,z,A4
646,z,G5
647,z,B4
648,z,z
649,F3,D4
650,z,z
651,z,C6
652,z,G4
653,A3,C#5E5
654,A3,C#5
655,z,E5
656,A3,C#5
657,z,C5
658,z,G5
659,z,B4
660,z,A5
661,z,C5
662,z,A4
663,z,B4
664,z,G4
665,z,B4
666,z,A4
667,z,B5
668,F3,D4
669,F3,F4
670,z,F#4
671,D4,G5B5
672,F3,F4
673,z,B4
674,D4,E5G5
675,F3,D4
676,z,G4
677,z,F5
678,z,z
679,z,z
680,z,z
681,z,F#4
682,z,G5
683,z,E4
684,z,F#4
685,z,B5
686,F3,F5A5
687,z,G4
688,z,A4
689,C4,D#5
690,z,B4
691,z,z
692,D4,A#5
693,z,z
694,z,C5
695,z,D5
696,D4,E5G5
697,z,A4
698,z,E5
699,z,z
700,F3,F5A5
701,E3G3,C5E5
702,z,z
703,z,E5
704,F3,F5A5
705,z,E5
706,z,F#5
707,D3,F#4A4
708,A2,D4F#4
709,A3,G#4
710,z,D5
711,z,F#4
712,z,G4
713,z,B4
714,E3G3,C5E5
715,z,B4
716,A3,G#4
717,z,D5
718,z,F5
719,D4,E5G5
720,z,z
721,z,z
722,z,A4
723,z,D5
724,z,B5
725,z,C5
726,z,A4
727,z,D5
728,z,E4
729,z,C5
730,F3,D4
731,z,G4
732,z,G5
733,D4,A#5
734,F3,D4
735,z,z
736,E3G3,C5E5
737,z,G5
738,F3,D4
739,z,G5
740,G3,E6
741,z,D5
742,z,D5
743,z,D5
744,F3,F4
745,F3,F4
746,B2,D4F4
747,z,G3
748,F3,D4
749,z,E5
750,z,D5
751,z,F#4
752,z,A5
753,z,F4A4
754,z,E5
755,A3,C#5
756,z,D5
757,z,D5
758,z,C5
759,E3G3,C5E5
760,z,B3
761,z,A5
762,z,A5
763,F3,F4
764,z,z
765,A3,C#6
766,z,B4
767,z,z
768,z,E5
769,z,E5
770,B2,D4F4
771,z,A5
772,z,F#5
773,z,E4
774,z,z
775,E3G3,E5A5
776,z,A4
777,z,E4
778,z,B4
779,z,B4
780,z,z
781,z,E4G#4
782,z,E5
783,A3,D5F#5
784,z,G5
785,z,D5
786,z,F5
787,z,C5
788,z,G5
789,z,E5
790,A3,G#4
791,z,F4A4
792,z,E5
793,D3,F#4A4
794,z,E5
795,z,A5
796,z,F5
797,z,B5
798,z,C5
799,C3,C4E4
800,z,G4
801,A#2,A#4
802,G3,D5F5
803,z,z
804,D4,A#5
805,z,D6
806,z,A5
807,z,G4
808,z,z
809,z,E5
810,z,E5
811,z,F5
812,z,A5
813,z,E4
814,z,G5
815,z,A4
816,A#2,A#3
817,z,D5
818,z,E4
819,G4,B3D4
820,z,A4
821,z,C6
822,A3,C#5
823,A3,C#5
824,z,D5
825,F3,F4
826,z,z
827,z,G5
828,z,A5
829,z,F5
830,z,D5
831,z,G4
832,z,A4
833,z,A4
834,z,E5
835,z,D5
836,z,F#5
837,z,G5
838,z,A5
839,z,G4
840,z,D5
841,z,A4
842,z,A5
843,z,C5
844,z,F#5
845,G3,E6
846,C3,C4
847,z,G5
848,z,B4
849,z,A4
850,z,E5
851,z,A5
852,z,B5
853,z,z
854,z,F5
855,z,D5
856,A3,G#4
857,A3,C#5
858,D4,E5G5
859,F3,D4
860,z,A5
861,z,E5
862,C3,C4
863,C3,C4
864,F3,D4
865,z,G5
866,z,z
867,z,z
868,z,E4
869,z,G3
870,z,G4
871,z,z
872,z,G5
873,F3,F4
874,z,G4
875,E3,C#4
876,z,A4
877,A3,C#5
878,z,C5
879,z,G4
880,F3,D4
881,z,C6
882,z,E4
883,z,B4
884,z,G4
885,z,E4
886,z,E5
887,z,A5
888,z,D5
889,A#2,A#4
890,z,D5
891,z,D5
892,z,B4
893,z,z
894,z,C5
895,z,F#4
896,z,z
897,z,F#4
898,G3,D#4
899,z,B4
900,z,C5
901,z,E5
902,z,D5
903,z,B4
904,D4,A#5
905,z,E5
906,z,G5
907,z,G4
908,z,C5
909,z,C5
910,z,E5
911,D3,G4B4
912,z,B5
913,A3,G#4
914,z,z
915,z,E5
916,z,D5
917,z,E4G4
918,A#2,A#4
919,z,A4
920,z,B4
921,z,D5
922,C4,D#5
923,z,C5
924,z,A4
925,z,D5
926,z,G5
927,z,E5
928,G4,B3D4
929,z,E4
930,z,E5
931,z,z
932,z,G3
933,z,B4
934,A3,C#5
935,z,G5
936,z,A4
937,z,F5
938,z,F5
939,z,F#5
940,A3,B4D5
941,z,A4
942,z,B4
943,z,D5
944,A#2,A#4
945,z,B4
946,z,z
947,z,A4
948,z,D5
949,F3,D4
950,F3,D4
951,z,C5
952,F3,D4
953,z,D#4A4
954,z,G4
955,z,B5
956,z,E5
957,z,C5
958,z,G5
959,z,D5
960,z,B4
961,C3,C4
962,C3,C4
963,z,D5
964,A3,C#6
965,F3,D4
966,z,G4
967,z,B4
968,z,z
969,z,D5
970,z,G3
971,z,D5
972,z,z
973,z,A4
974,z,F#4
975,z,D5
976,z,F#4
977,z,A5
978,z,C6
979,z,G4
980,A3,B4D5
981,z,C5
982,z,C5
983,z,A5
984,A3,C#5
985,F3,D4
986,z,D5
987,z,A4
988,z,G4
989,z,C5
990,z,E5
991,z,C5
992,z,D5
993,C4,D#5
994,z,E4G#4
995,z,C6
996,z,F#5
997,A3,C#5
998,z,z
999,z,C5
1000,z,E5G5C6
1001,z,D6
1002,z,D5
1003,z,G5
1004,F3,D4
1005,z,G5
1006,G3,D#4
1007,z,G4
1008,z,G5
1009,z,G5
1010,z,C5
1011,z,B4
1012,z,A5
1013,B2,D4F4
1014,z,F#4
1015,z,B5
1016,z,D5
1017,G3,E6
1018,z,G4
1019,z,E5
1020,z,F#4
1021,z,E5
1022,z,E4
1023,z,D5
1024,z,F5
1025,z,C5
1026,z,C5
1027,z,F#4
1028,z,A5
1029,C3,C4
1030,z,z
1031,z,C5
1032,z,G5
1033,F3,D4
1034,z,B4
1035,z,D5
1036,z,z
1037,z,E5
1038,z,A4
1039,z,F#4
1040,C3,C4E4
1041,z,F5
1042,z,E5
1043,z,D5
1044,z,D5
1045,z,z
1046,z,C6
1047,z,G4
1048,z,F#5
1049,z,A5
1050,G2D3,G5G6
1051,z,A4
1052,z,D5
1053,z,G5
1054,z,B5
1055,z,C5
1056,A3,C#4E4
1057,z,B4
1058,z,z
1059,z,B5
1060,A#2,A#3
1061,z,G5
1062,z,z
1063,z,E5
1064,A#2,A#4
1065,z,A4
1066,z,A5
1067,z,A4
1068,z,G5
1069,E3G3,C5E5
1070,F3,D4
1071,z,E4
1072,z,E4
1073,z,B5
1074,A3,C#5
1075,B2,D4F4
1076,z,C5
1077,z,z
1078,z,G5
1079,z,E4
1080,z,z
1081,z,E5
1082,z,B5
1083,C3,C4
1084,F3,A5C6
1085,z,G4
1086,z,E4
1087,z,G4
1088,A3,C#5
1089,G3,D#4
1090,G3,D#4
1091,z,G4
1092,F3,D4
1093,z,G4
1094,z,G4
1095,z,C5
1096,z,G5
1097,z,E4
1098,z,G4
1099,z,z
1100,z,F#4
1101,z,G4
1102,z,E5
1103,C4D4,C5A5
1104,z,E4G4
1105,z,G4
1106,z,D4A#4
1107,z,E5
1108,z,D5
1109,z,B5
1110,z,D5
1111,z,D5
1112,F3,D4
1113,z,F#5
1114,G3,D5F5
1115,z,C6
1116,z,F5
1117,z,G4
1118,z,D5
1119,D3,G#3
1120,F3,F4
1121,z,z
1122,z,G5
1123,F3,F4
1124,z,B5
1125,z,F5
1126,z,A5
1127,F3,D4
1128,z,G5
1129,z,A5
1130,A#2,D4F4A#4
1131,z,F5
1132,z,C5
1133,z,G4
1134,z,A4
1135,z,D5
1136,z,D5
1137,z,A5
1138,z,F#5
1139,z,D5
1140,z,C5
1141,z,C5
1142,z,D6
1143,z,G3
1144,z,z
1145,A#2,A#3
1146,z,A5
1147,G3,D#4
1148,A#2,A#4
1149,z,E5
1150,A#2,A#4
1151,z,F#4
1152,z,z
1153,z,z
1154,A#2,A#4
1155,z,C5
1156,z,z
1157,z,B4
1158,z,F5
1159,z,C5
1160,z,G5
1161,z,F#4
1162,z,D6
1163,E3G3,E5A5
1164,z,D5
1165,z,E5
1166,z,F5
1167,F3,F4
1168,z,D6
1169,C3,E3G3
1170,A3,B4D5
1171,z,D5
1172,z,D5
1173,C4D4,C5A5
1174,z,A5
1175,z,z
1176,z,A4
1177,z,D5
1178,z,E4
1179,z,E5
1180,z,E5
1181,z,D5
1182,z,E5
1183,z,E4
1184,z,A4
1185,z,G4
1186,z,B5
1187,z,G4
1188,z,z
1189,z,E5
1190,z,z
1191,F3,D4
1192,z,z
1193,z,E5
1194,z,C5
1195,z,A5
1196,z,D5
1197,z,A5
1198,z,B4
1199,z,E5
1200,z,A4
1201,z,B5
1202,z,B4
1203,z,D5
1204,z,E5
1205,z,G4
1206,z,z
1207,z,B4
1208,z,z
1209,C4,D#5
1210,F3,F4
1211,z,B4
1212,z,B5
1213,z,B5
1214,z,F5
1215,z,D5
1216,z,E4
1217,z,D5
1218,z,G5
1219,z,A4
1220,z,D5
1221,z,D5
1222,z,F5
1223,E2,A4C#5
1224,D2,F#4D5
1225,z,A4
1226,z,F#5
1227,z,z
1228,z,C5
1229,z,C5
1230,z,F5
1231,z,F5
1232,z,B4
1233,z,G4
1234,z,D5
1235,F2F3,A5F6
1236,C4,D#5
1237,z,z
1238,z,z
1239,z,B4
1240,z,C5
1241,D4,E5G5
1242,z,C5
1243,z,E4
1244,A3,C#5
1245,A3,C#5
1246,D4,E5G5
1247,z,C5
1248,z,D5
1249,A3,C#5E5
1250,C3,C4
1251,z,C5
1252,F3,F5A5
1253,z,D6
1254,z,C5
1255,z,D4A#4
1256,z,D5
1257,z,F5
1258,z,G4
1259,z,B4
1260,z,D5
1261,z,E5
1262,F3,D4
1263,z,G4
1264,z,D5
1265,A3,C#5
1266,z,F#4
1267,z,D6
1268,z,E4G4
1269,z,B5
1270,F3,F4
1271,F#2F#3,A4C5
1272,z,A4
1273,z,D5
1274,z,E5
1275,C3,C4
1276,z,F5
1277,z,z
1278,z,G5
1279,A3,B4D5
1280,z,F5
1281,z,G5
1282,z,E4
1283,z,B4
1284,z,C5
1285,z,E4
1286,z,G4
1287,z,z
1288,z,C5
1289,z,F5
1290,F3,D4
1291,z,G5
1292,z,B4
1293,E3,G#4B4
1294,z,E5
1295,z,C5
1296,z,z
1297,z,F#4
1298,z,A4
1299,z,A4
1300,z,D6
1301,z,F#4
1302,z,E4
1303,A3,G#4
1304,z,G3
1305,z,B4
1306,z,F4A4
1307,z,C6
1308,z,z
1309,z,B4
1310,E3,C#4
1311,z,A5
1312,z,D5
1313,z,F5
1314,z,F5
1315,z,A5
1316,z,C5
1317,z,F#4
1318,z,A4
1319,z,G4
1320,D4,A#5
1321,z,B4
1322,B2,D4F4
1323,z,F5
1324,z,D6
1325,A3,G#4
1326,z,B4
1327,D2,F#4D5
1328,z,G5
1329,z,z
1330,z,z
1331,z,C6
1332,C3,C4
1333,z,F#4
1334,z,D5
1335,z,G4
1336,z,F#5
1337,z,E5
1338,z,B4
1339,A#2,A#4
1340,C3,C4
1341,z,B4
1342,z,D6
1343,z,F#5A5
1344,z,A4
1345,z,z
1346,z,A5
1347,z,G5
1348,z,C5
1349,z,D6
1350,C3,C4E4
1351,z,D5
1352,z,D5
1353,z,B5
1354,G3,D#4
1355,D4,A#5
1356,z,B4
1357,F3G3,F5G5
1358,D4,A#5
1359,z,E4
1360,z,A4
1361,z,D5
1362,z,E5
1363,z,B5
1364,z,z
1365,z,F5
1366,z,z
1367,z,E5
1368,z,C5
1369,z,D5
1370,G3,D#4
1371,z,F#3
1372,z,G4
1373,z,A5
1374,z,D5
1375,z,z
1376,z,E5
1377,z,z
1378,z,z
1379,A4,A4D5
1380,z,C5
1381,z,A4
1382,z,G3
1383,z,D5
1384,z,G5
1385,A3,C#5
1386,z,G5
1387,z,G4
1388,z,D5
1389,z,E4
1390,z,B4
1391,z,B4
1392,A#2,A#4
1393,z,G4
1394,z,A4
1395,z,A5
1396,F3,F4
1397,z,G4
1398,G4,B3D4
1399,z,G4
1400,G4,B3D4
1401,F3G3,B4F5
1402,z,z
1403,z,G4
1404,z,A5
1405,z,G4
1406,z,D5
1407,z,D5
1408,z,z
1409,z,D5
1410,z,C5
1411,z,E4
1412,A#2,A#3
1413,C4,D#5
1414,F3,D4
1415,z,D5
1416,z,G4
1417,E3G3,C5E5
1418,z,D5
1419,z,E4
1420,z,G4
1421,z,z
1422,z,A4
1423,A3,C#5
1424,z,F5
1425,z,z
1426,z,C5
1427,z,F#4
1428,z,B5
1429,z,F#5
1430,z,F5
1431,z,G5
1432,z,G5
1433,z,G4
1434,z,D5
1435,G3,D#4
1436,F3G3,F5G5
1437,z,E5
1438,z,B4
1439,A3,C#5
1440,z,C5
1441,z,z
1442,z,G4
1443,z,A5
1444,A3,C#5
1445,z,D5
1446,z,G5
1447,z,E4
1448,F3G3,B4F5
1449,z,B4
1450,D2,F#4D5
1451,z,A4
1452,z,F#5
1453,z,z
1454,z,C5
1455,z,A4
1456,z,F#4
1457,z,z
1458,z,C5
1459,z,D5
1460,z,F5
1461,z,D5
1462,F3,F4
1463,z,D6
1464,D3,F#4A4
1465,z,D5
1466,z,C6
1467,z,z
1468,C3,C4
1469,A3,C#5
1470,C3,C4E4
1471,D3,G4B4
1472,z,D6
1473,z,A5
1474,z,A5
1475,z,F5
1476,z,D5
1477,z,C5
1478,z,E4
1479,z,B4
1480,z,z
1481,z,F#5
1482,z,B4
1483,A3,C#5E5
1484,z,D5
1485,z,z
1486,F#2F#3,A4C5
1487,z,F#4
1488,z,G4
1489,z,B4
1490,z,z
1491,E3G3,C5E5
1492,z,C5
1493,A3,D#5G5
1494,z,z
1495,z,B4
1496,z,E5
1497,z,A4
1498,z,G4
1499,z,F5
1500,A3,C#5
1501,A3,C#5
1502,A#2,A#4
1503,z,E5
1504,D3,F#4A4
1505,z,A4
1506,z,A5
1507,A3,C#5
1508,z,E4G4
1509,z,A4
1510,z,D5
1511,E2E3,G#4B4E5
1512,z,A5
1513,F3,F5A5
1514,F3,F4
1515,z,D3B3
1516,F3,F4
1517,z,G4
1518,F3,F4
1519,z,C5
1520,z,B3F4
1521,z,z
1522,C3,C4
1523,z,F#4
1524,A3,C#5
1525,C3,C4
1526,z,D6
1527,z,G3
1528,z,G4
1529,z,F#5
1530,z,E4
1531,z,G3
1532,z,E4G4
1533,z,C5
1534,z,B5
1535,z,B4
1536,D4,A#5
1537,z,A4
1538,z,z
1539,z,D5
1540,z,G4
1541,z,E4
1542,z,F#4
1543,z,E5
1544,z,z
1545,z,G4
1546,z,G5
1547,z,B5
1548,z,D5
1549,z,A4
1550,z,A4
1551,z,z
1552,z,C5
1553,z,G5
1554,z,A4
1555,z,G5
1556,z,z
1557,G3,D5F5
1558,A3,C#5
1559,A3,G#4
1560,z,C5
1561,A#2,A#4
1562,z,G4
1563,z,F#4
1564,z,B4
1565,z,D5
1566,z,G5
1567,z,G5
1568,z,D5
1569,z,z
1570,z,G5
1571,z,G5
1572,z,z
1573,z,A4
1574,z,C5
1575,z,C5
1576,F3,D4
1577,z,B5
1578,z,B5
1579,z,B3
1580,z,F#4
1581,z,z
1582,z,A5
1583,F3,F4
1584,z,F#5
1585,z,z
1586,z,D6
1587,z,G5
1588,A#2,A#4
1589,C3,C4
1590,z,E4
1591,z,C5
1592,A3,C#6
1593,z,A4
1594,z,E5G5C6
1595,z,F6
1596,A3,G#4
1597,G3,E6
1598,z,G5
1599,z,E3
1600,z,A4
1601,C3,E3G3
1602,z,z
1603,z,A5
1604,z,A4
1605,z,F#4
1606,z,A4
1607,z,C5
1608,z,E4
1609,z,A4
1610,B2,D4F4
1611,z,F5
1612,z,E4
1613,z,E4
1614,F3,F4
1615,F3,D4
1616,z,A4
1617,z,G5
1618,A#2,A#4
1619,E3,C#4
1620,z,F5
1621,z,A5
1622,z,A4
1623,C3,C4
1624,z,E5
1625,z,E4
1626,A#2,A#4
1627,C4,D#5
1628,z,F#4
1629,z,D5
1630,A3,C#5
1631,z,A4
1632,z,z
1633,F3,F4
1634,z,D6
1635,z,A4
1636,E3G3,C5E5
1637,z,A5
1638,z,D6
1639,z,A5
1640,z,G5
1641,C3,C4
1642,z,D5
1643,A#2,A#4
1644,z,G5
1645,B2,D4F4
1646,z,A4
1647,z,G5
1648,F3,A5C6
1649,z,G4
1650,z,D5
1651,z,D5
1652,z,F#4
1653,C3,C4E4
1654,z,C5
1655,z,E5
1656,z,B5
1657,z,A4
1658,z,A4
1659,D4,F3
1660,F3,F4
1661,z,A4
1662,z,C5
1663,z,z
1664,F3,F4
1665,z,B5
1666,z,E4
1667,z,G4
1668,A#2,A#3
1669,z,G4
1670,z,C5
1671,A#2,A#3
1672,C3,C4E4
1673,C3,C4
1674,z,D5
1675,z,A4
1676,z,A5
1677,z,A4
1678,z,z
1679,z,C5
1680,z,A4
1681,z,D6
1682,A3,C#5
1683,z,D6
1684,C4,D#5
1685,z,D5
1686,z,G4
1687,z,G5
1688,z,E5
1689,A3,C#5
1690,F3,D4
1691,z,C6
1692,z,B3
1693,z,D6
1694,D4,E5G5
1695,z,C5
1696,z,B4
1697,z,F5
1698,z,D5
1699,z,B3
1700,z,z
1701,z,E4
1702,z,E5
1703,z,G4
1704,z,A4
1705,z,E4
1706,z,B4
1707,A#2,A#3
1708,z,E5
1709,z,z
1710,F#2,F#5D6
1711,z,A4
1712,z,C6
1713,G3,E6
1714,z,E5
1715,z,E4G4
1716,G3,D#4
1717,z,E4
1718,C3,C4
1719,A3,B4D5
1720,z,A5
1721,F3,F4
1722,z,E5
1723,z,C5
1724,z,z
1725,z,G3
1726,D4,E5G5
1727,z,G5
1728,z,z
1729,z,D5
1730,z,C6
1731,z,B4
1732,z,D5
1733,F3,D4
1734,F3,D4
1735,z,E5
1736,z,D5
1737,z,z
1738,z,z
1739,F3,D4
1740,z,G4
1741,z,C5
1742,z,E5
1743,z,B3
1744,F3,D4
1745,z,F5
1746,A#2,A#4
